Date, Open, High, Low,Close, Volume
08/31/18,29.75,29.75,28,28.25,9077200
08/30/18,30,30,29.5,29.5,2726600
08/29/18,29.75,30.25,29.75,29.75,1959600
08/28/18,29.25,30.5,29,29.75,4929200
08/27/18,29,29.5,29,29,1647000
08/24/18,29,29.25,29,29,2498300
08/23/18,29,29.25,29,29,3045900
08/22/18,29,29.5,29,29,6420500
08/20/18,29,29.5,29,29,7496200
08/17/18,28.75,29.5,28.75,29,961200
08/16/18,29,29,28.75,28.75,6699800
08/15/18,28.75,29.25,28.75,29,8721200
08/14/18,28.5,29,28.5,28.75,7527000
08/13/18,28.5,29,28.5,28.5,2021800
08/10/18,29,29,28.25,28.25,4948100
08/09/18,29,29.25,28.25,28.75,3037200
08/08/18,28.25,29.5,28.25,28.75,6592000
08/07/18,28,28.25,28,28,5167200
08/06/18,28.25,28.25,28,28,1404800
08/03/18,28,28.25,28,28,5929000
08/02/18,28,28.5,28,28,18662801
08/01/18,28.25,28.5,27.75,27.75,4549500
07/31/18,28.5,28.5,27.75,28,2680900
07/30/18,28.75,28.75,28.25,28.5,11459700
07/27/18,28.5,29,28.5,28.5,3334900
07/26/18,29,29,28.5,28.5,4900000
07/25/18,28.75,29,28.5,28.75,5932100
07/24/18,28.5,29,28.5,28.5,748100
07/23/18,28.5,29,28.25,28.5,656500
07/20/18,29.25,29.25,28.25,28.5,3537600
07/19/18,29.75,29.75,28.75,29.25,10041000
07/18/18,29.25,29.75,29,29,2224500
07/17/18,28.25,29.25,28.25,28.75,3960900
07/16/18,28.75,28.75,28,28.25,10493700
07/13/18,28.75,28.75,28.25,28.25,4689700
07/12/18,28.5,29,28.5,28.5,3335800
07/11/18,29,29,28.25,28.5,5134400
07/10/18,29,29.25,29,29,5693900
07/09/18,29,29.25,28.75,29,2004500
07/06/18,28.75,29.25,28.75,28.75,2036900
07/05/18,28.5,29.25,28.5,29,5412700
07/04/18,29,29.25,28,28.5,2894700
07/03/18,28.75,28.75,27.75,28,3750400
07/02/18,29.5,29.75,28.75,29,9571200
06/29/18,29.75,30,29.25,29.5,10555800
06/28/18,29.75,30,29.25,29.75,22488900
06/27/18,29.25,30,28.75,29.5,16543301
06/26/18,28.5,29.5,28.5,29,17602600
